id,u_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,date,created_at
162,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,829,2019-09-29 14:41:43
163,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,829,2019-09-29 14:41:43
164,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,829,2019-09-29 14:41:43
165,2,1.45182,0.459168,-0.937701,-0.0442039,0.274346,0.0272224,987,2019-09-29 14:41:43
166,2,1.45182,0.459168,-0.937701,-0.0442039,0.274346,0.0272224,992,2019-09-29 14:41:43
167,2,1.27788,0.447156,-1.0411,-0.0989558,0.28334,-0.00914275,187,2019-09-29 14:41:44
168,2,1.27788,0.447156,-1.0411,-0.0989558,0.28334,-0.00914275,203,2019-09-29 14:41:44
169,2,1.1279,0.444204,-1.07196,-0.128841,0.258897,-0.0125416,384,2019-09-29 14:41:44
170,2,1.1279,0.444204,-1.07196,-0.128841,0.258897,-0.0125416,391,2019-09-29 14:41:44
171,2,0.937452,0.390263,-1.03202,-0.224931,0.316842,-0.062009,585,2019-09-29 14:41:44
172,2,0.937452,0.390263,-1.03202,-0.224931,0.316842,-0.062009,593,2019-09-29 14:41:44
173,2,0.743567,0.368473,-0.977242,-0.274416,0.327655,-0.0718476,786,2019-09-29 14:41:44
174,2,0.743567,0.368473,-0.977242,-0.274416,0.327655,-0.0718476,794,2019-09-29 14:41:44
175,2,0.554474,0.355728,-0.922813,-0.220382,0.259729,-0.0358368,984,2019-09-29 14:41:44
176,2,0.554474,0.355728,-0.922813,-0.220382,0.259729,-0.0358368,990,2019-09-29 14:41:44
177,2,0.395527,0.333729,-0.880652,-0.0830092,0.135241,-0.0149776,186,2019-09-29 14:41:45
178,2,0.395527,0.333729,-0.880652,-0.0830092,0.135241,-0.0149776,194,2019-09-29 14:41:45
179,2,0.305578,0.335913,-0.822718,-0.0367983,0.0585514,-0.00401489,386,2019-09-29 14:41:45
180,2,0.305578,0.335913,-0.822718,-0.0367983,0.0585514,-0.00401489,393,2019-09-29 14:41:45
181,2,0.262267,0.320432,-0.718451,-0.0365753,0.0364974,-0.000508667,585,2019-09-29 14:41:45
182,2,0.262267,0.320432,-0.718451,-0.0365753,0.0364974,-0.000508667,595,2019-09-29 14:41:45
183,2,0.248028,0.311905,-0.632117,-0.0386852,0.0193919,0.000156797,785,2019-09-29 14:41:45
184,2,0.248028,0.311905,-0.632117,-0.0386852,0.0193919,0.000156797,792,2019-09-29 14:41:45
185,2,0.243534,0.305433,-0.561127,-0.0433658,0.0120695,0.016405,986,2019-09-29 14:41:45
